BioSample	Run
SAMN02414923	SRR1144804
SAMEA2534338	ERR551996
SAMEA2534705	ERR552522
SAMN08436008	SRR6650119
SAMEA2517421	ERR498364
SAMEA7551399	ERR4818036
SAMN08629362	SRR6797426
SAMEA2535201	ERR553189
SAMN08629013	SRR6797589
SAMEA2517420	ERR498361
SAMN08436084	SRR6650111
SAMN08629074	SRR6797699
SAMEA2534732	ERR552559
SAMEA2517419	ERR498357
SAMEA2534272	ERR2199768
SAMEA2534084	ERR551635
SAMN08629105	SRR6797550
SAMEA2534992	ERR552908
SAMN04385705	SRR3085323
SAMEA2534739	ERR552570
SAMEA115434313	ERR12796613
SAMN08629136	SRR6797843
SAMEA2535081	ERR2199778
SAMN08436205	SRR6650302
SAMN08436094	SRR6650394
SAMEA7553557	ERR4820191
SAMEA2535082	ERR553032
SAMN08629268	SRR6797630
SAMEA2533887	ERR551362
SAMEA2535039	ERR552971
SAMN08629367	SRR6797640
SAMEA2533785	ERR551221
SAMN08436085	SRR6650106
SAMN04385700	SRR3085318
SAMEA2533730	ERR551142
SAMEA2534660	ERR552454
SAMEA2517364	ERR498293
SAMEA7550643	ERR4817281
SAMN08436089	SRR6650114
SAMEA2535274	ERR2199811
SAMEA2533776	ERR551211
SAMN08629166	SRR6797312
SAMEA2533965	ERR551471
SAMN08436098	SRR6650390
SAMEA2534518	ERR552258
SAMEA104394674	ERR2200098
SAMN08629440	SRR6797710
SAMN08629045	SRR6797869
SAMEA2533964	ERR551469
SAMN08629146	SRR6797658
SAMN08436206	SRR6650303
SAMN08629469	SRR6797581
SAMEA2533385	ERR550676
SAMEA2534635	ERR2199997
SAMN21880271	SRR16097539
SAMEA2534391	ERR552068
SAMEA104394650	ERR2200069
SAMN08629313	SRR6797292
SAMEA2534986	ERR552897
SAMN08629321	SRR6797300
SAMEA2534489	ERR552217
SAMN08628993	SRR6797579
SAMN08629014	SRR6797588
SAMN02419564	SRR1181248
SAMEA104394398	ERR2199764
SAMEA2533504	ERR550831
SAMEA2534542	ERR552287
SAMEA2534091	ERR551649
SAMN08629365	SRR6797642
SAMEA2535205	ERR553198
SAMN08629208	SRR6797336
SAMN08629264	SRR6797634
SAMN08629459	SRR6797452
SAMEA104394418	ERR2199790
SAMEA2534840	ERR552709
SAMEA2534772	ERR552620
SAMEA2534411	ERR552099
SAMEA7549184	ERR4815823
SAMEA2534452	ERR552159
SAMEA2533546	ERR550893
SAMN04385732	SRR3082085
SAMEA2534370	ERR552042
SAMEA2534816	ERR552682
SAMEA2534052	ERR551592
SAMN08629303	SRR6797627
SAMEA2533854	ERR551318
SAMEA2533941	ERR551437
SAMEA2534544	ERR2199805
SAMN08436096	SRR6650392
SAMN02414903	SRR1163360
SAMEA2533550	ERR550901
SAMN08629427	SRR6797680
SAMEA2534323	ERR551970
SAMN08436100	SRR6650399
SAMN08629157	SRR6797490
SAMN08629447	SRR6797661
SAMEA2533994	ERR551511
SAMEA2533916	ERR551401
SAMEA2533409	ERR550707
SAMN08436102	SRR6650345
SAMN08912861	SRR6982112
SAMEA2535180	ERR553157
SAMN08436006	SRR6650121
SAMN08629214	SRR6797533
SAMN08795064	SRR6896605
SAMN08629381	SRR6797377
SAMN08629468	SRR6797611
SAMN08436280	SRR6650361
SAMEA2533937	ERR551432
SAMN08629424	SRR6797679
SAMN08629033	SRR6797416
SAMEA2534682	ERR2200058
SAMEA104172417	ERR2041695
SAMEA2533443	ERR550749
SAMEA2533915	ERR551398
SAMEA2534512	ERR552247
SAMN08436037	SRR6650404
SAMEA2535200	ERR553192
SAMEA2535177	ERR553153
SAMN08436135	SRR6650220
SAMN04385717	SRR3082069
SAMN08629122	SRR6797826
SAMEA2533717	ERR551123
SAMN08436252	SRR6650230
SAMEA2533815	ERR551265
SAMEA2534521	ERR552259
SAMN02419594	SRR1181081
SAMEA2534401	ERR552081
SAMN02419552	SRR1181030
SAMEA2534021	ERR551551
SAMEA2534088	ERR551642
SAMN08629006	SRR6797501
SAMN08629414	SRR6797507
SAMEA2534777	ERR552627
SAMEA2534200	ERR551798
SAMN08629042	SRR6797870
SAMEA2533365	ERR550649
SAMEA2534861	ERR552735
SAMEA104394395	ERR2199755
SAMN08629444	SRR6797646
SAMN08629118	SRR6797410
SAMEA2534292	ERR551923
SAMEA2533358	ERR2199988
SAMEA2534638	ERR2200048
SAMN02419579	SRR1181310
SAMN08629579	SRR6797467
SAMEA2534331	ERR551985
SAMEA104394555	ERR2199954
SAMN08436095	SRR6650391
SAMEA2534691	ERR552501
SAMEA3271667	ERR2515908
SAMN02419559	SRR1181141
SAMEA2534652	ERR552443
SAMN08628998	SRR6797866
SAMEA2534237	ERR551847
SAMN08436228	SRR6650211
SAMN02414916	SRR1144810
SAMEA2535158	ERR553130
SAMEA2533664	ERR551052
SAMEA2535031	ERR552959
SAMEA104394483	ERR2199872
SAMN08629529	SRR6797691
SAMEA36322918	ERR11043685
SAMN08435987	SRR6650185
SAMEA2533360	ERR550640
SAMEA2534690	ERR552499
SAMEA2534108	ERR551674
SAMEA2534654	ERR552446
SAMN02419589	SRR1181207
SAMEA2535016	ERR552940
SAMN08629080	SRR6797791
SAMEA2533765	ERR551192
SAMN08629242	SRR6797610
SAMN08629559	SRR6797784
SAMN08629276	SRR6797558
SAMEA2533702	ERR551101
SAMEA1101704	ERR2510406
SAMN08629194	SRR6797748
SAMN08629078	SRR6797693
SAMN08629337	SRR6797444
SAMN02419550	SRR1180958
SAMEA2534740	ERR552573
SAMEA2533983	ERR551496
SAMEA2534408	ERR552093
SAMN08436065	SRR6650227
SAMN04385698	SRR3085316
SAMN08629097	SRR6797712
SAMEA2535024	ERR552950
SAMEA2533707	ERR551109
SAMEA2533809	ERR551255
SAMEA2533789	ERR551226
SAMN08629526	SRR6797688
SAMN08629025	SRR6797763
SAMEA2534763	ERR552606
SAMEA104172443	ERR2041686
SAMEA2534211	ERR551816
SAMEA2533548	ERR550896
SAMN02419566	SRR1183966
SAMEA2534103	ERR551666
SAMN08629300	SRR6797544
SAMN08629083	SRR6797368
SAMEA2534605	ERR552374
SAMEA2534551	ERR552298
SAMN02414873	SRR1163085
SAMEA115577926	ERR13093874
SAMN08629404	SRR6797350
SAMEA2534427	ERR552123
SAMN04385681	SRR3085297
SAMEA115434301	ERR12796612
SAMEA2534261	ERR551878
SAMN08436012	SRR6650299
SAMEA2533724	ERR551132
SAMEA2534571	ERR552333
SAMEA115578003	ERR13093956
SAMEA2534945	ERR552842
SAMN08629592	SRR6797567
SAMN02419534	SRR1181202
SAMEA2534624	ERR552401
SAMN02419538	SRR1181150
SAMN04385703	SRR3085321
SAMEA104394479	ERR2199866
SAMEA2534550	ERR552295
SAMEA2533639	ERR551020
SAMN08629128	SRR6797824
SAMEA2534842	ERR552712
SAMN08629288	SRR6797725
SAMN08629441	SRR6797711
SAMEA2534859	ERR552734
SAMN08629388	SRR6797799
SAMN41403652	SRR29037024
SAMN08629299	SRR6797535
SAMEA2517357	ERR498288
SAMEA104394404	ERR2199774
SAMN04385754	SRR3082110
SAMN08629558	SRR6797785
SAMEA115577888	ERR13093837
SAMN02414934	SRR1166924
SAMN02419544	SRR1180935
SAMEA2534517	ERR552254
SAMN08295257	SRR6442525
SAMEA2533870	ERR551343
SAMEA2534365	ERR552033
SAMN08629431	SRR6797684
SAMN08629375	SRR6797553
SAMEA2533566	ERR550923
SAMEA2534447	ERR552149
SAMN08629457	SRR6797454
SAMEA2533377	ERR550664
SAMEA2517428	ERR551364
SAMEA2535218	ERR553218
SAMEA2534048	ERR551585
SAMEA2534294	ERR551926
SAMN02414953	SRR1162802
SAMEA2534152	ERR551730
SAMEA2533458	ERR550771
SAMN04385697	SRR3085315
SAMEA2534268	ERR551887
SAMEA2533368	ERR550652
SAMEA104394445	ERR2199824
SAMN08732311	SRR6855784
SAMN02419599	SRR1180997
SAMN08436177	SRR6650365
SAMEA2533453	ERR550763
SAMN02419595	SRR1181082
SAMEA1118698	ERR2513517
SAMEA104172469	ERR2041701
SAMEA2534479	ERR552199
SAMN02419569	SRR1184036
SAMEA2534240	ERR551853
SAMN02419596	SRR1180951
SAMEA2517356	ERR498285
SAMN08436268	SRR6650319
SAMEA2534250	ERR551866
SAMN08436201	SRR6650193
SAMEA104172431	ERR2041700
SAMN08629092	SRR6797717
SAMN08629021	SRR6797594
SAMN08629412	SRR6797509
SAMN08629143	SRR6797655
SAMEA2534670	ERR552469
SAMEA2533722	ERR551129
SAMN08629587	SRR6797307
SAMEA2535320	ERR553342
SAMN02419598	SRR1184001
SAMN08629582	SRR6797674
SAMEA2533466	ERR550784
SAMN02419539	SRR1181018
SAMN02414864	SRR1163355
SAMEA7549074	ERR4815714
SAMN03648002	SRR2467271
SAMEA2534236	ERR551845
SAMEA2533585	ERR550950
SAMEA11006620	ERR7361957
SAMEA2534541	ERR552284
SAMEA2517430	ERR498380
SAMEA2533963	ERR551465
SAMN08629413	SRR6797510
SAMN08628995	SRR6797577
SAMEA2533459	ERR550772
SAMN08629035	SRR6797418
SAMN08629426	SRR6797681
SAMN08629527	SRR6797689
SAMEA1101755	ERR2510457
SAMN02419567	SRR1181278
SAMN08913220	SRR6982437
SAMN02419581	SRR1184121
SAMN41421737	SRR29055612
SAMEA2534061	ERR551604
SAMN15237868	SRR13449598
SAMN02419561	SRR1180937
SAMEA2534424	ERR552117
SAMN08436295	SRR6650285
SAMEA2534187	ERR551781
SAMN02419586	SRR1181095
SAMN08629015	SRR6797587
SAMEA104172459	ERR2041790
SAMEA2534862	ERR552740
SAMEA2533670	ERR551062
SAMN04385779	SRR3082138
SAMN41389319	SRR29017139
SAMEA2534150	ERR551727
SAMN02414865	SRR1144794
SAMN02419565	SRR1181019
SAMN02419548	SRR1183962
SAMEA2534775	ERR552626
SAMN04385669	SRR3085284
SAMEA2533701	ERR551100
SAMEA2535049	ERR552982
SAMEA104394455	ERR2199836
SAMN08629283	SRR6797726
SAMEA2533798	ERR551240
SAMN02419580	SRR1181311
SAMEA2533549	ERR550899
SAMN08629189	SRR6797735
SAMEA2534157	ERR551738
SAMEA104172454	ERR2041797
SAMEA2533430	ERR550733
SAMEA115577944	ERR13093892
SAMEA104394470	ERR2199855
SAMN08629437	SRR6797857
SAMEA2534444	ERR552148
SAMN02414897	SRR1144726
SAMN08436227	SRR6650210
SAMN08629244	SRR6797390
SAMEA115434306	ERR13801213
SAMEA2533853	ERR551315
SAMN08629294	SRR6797540
SAMN08795172	SRR6896485
SAMEA2533843	ERR551296
SAMN08629417	SRR6797514
SAMN08629231	SRR6797531
SAMEA3558217	ERR1213932
SAMN08629089	SRR6797362
SAMEA2534804	ERR552661
SAMEA104394513	ERR2199910
SAMEA104394489	ERR2199880
SAMN07658706	SRR6046003
SAMN08629434	SRR6797862
SAMN08629331	SRR6797709
SAMN02419563	SRR1181098
SAMN08629550	SRR6797483
SAMN02419587	SRR1181007
SAMEA104172420	ERR2041716
SAMN08629357	SRR6797811
SAMN08708979	SRR6832702
SAMN08629370	SRR6797414
SAMN08795192	SRR6896293
SAMEA2517432	ERR498383
SAMEA2534455	ERR552165
SAMEA2534908	ERR552794
SAMEA2534415	ERR552104
SAMN02419568	SRR1181306
SAMN04385767	SRR3082125
SAMN08436264	SRR6650323
SAMEA115577964	ERR13093913
SAMEA2533928	ERR551418
SAMEA2534622	ERR552396
SAMEA2534913	ERR552800
SAMEA2534347	ERR552007
SAMN08629289	SRR6797724
SAMEA2533922	ERR551410
SAMN02414930	SRR1162796
SAMEA2534847	ERR552718
SAMEA2534076	ERR551623
SAMEA104172502	ERR2041740
SAMN08629098	SRR6797715
SAMEA104394476	ERR2199862
SAMN02419602	SRR1180984
SAMN08912763	SRR6982235
SAMEA104172481	ERR2041802
SAMEA7548023	ERR4814664
SAMEA104394505	ERR2199899
SAMEA5569911	ERR3287718
SAMEA104172474	ERR2041713
SAMN08912847	SRR6982255
SAMN08629429	SRR6797682
SAMN02419573	SRR1181308
SAMEA2533794	ERR551233
SAMEA2534582	ERR552346
SAMEA2533513	ERR550842
SAMEA2534612	ERR552384
SAMN02414854	SRR1165498
SAMN08629461	SRR6797450
SAMN08629438	SRR6797858
SAMN08629197	SRR6797747
SAMN02419537	SRR1181304
SAMN04385781	SRR3082140
SAMN13169581	SRR10380252
SAMEA2535198	ERR553184
SAMN02414887	SRR1163093
SAMN08629415	SRR6797508
SAMN13169547	SRR10379958
SAMEA2534098	ERR551660
SAMEA2534179	ERR551767
SAMN02419551	SRR1181128
SAMEA2534749	ERR552586
SAMEA2534607	ERR552377
SAMN02414917	SRR1162854
SAMN04385680	SRR3085296
SAMN02419600	SRR1181033
SAMEA104394396	ERR2199760
SAMN02419597	SRR1180963
SAMEA2534644	ERR552433
SAMEA3404171	ERR2516617
SAMN02414870	SRR1163146
SAMEA2534087	ERR551645
SAMN02414942	SRR1165543
SAMEA2533899	ERR551381
SAMN02419556	SRR1181097
SAMN02414944	SRR1162708
SAMEA2534416	ERR552106
SAMEA115577908	ERR13093856
SAMEA2517445	ERR498389
SAMN02414976	SRR1162878
SAMN08629368	SRR6797637
SAMN08629124	SRR6797828
SAMEA3558205	ERR1213920
SAMN04385682	SRR3085298
SAMN04385684	SRR3085300
SAMEA2533935	ERR551428
SAMN02414948	SRR1162877
SAMEA104394428	ERR2199802
SAMEA1101768	ERR2510469
SAMEA3558199	ERR1034666
SAMN02414941	SRR1162822
SAMN02419592	SRR1180990
SAMEA3558222	ERR1034689
SAMEA104172422	ERR2041799
SAMEA2535362	ERR553393
SAMEA2533856	ERR551321
SAMN02414958	SRR1165436
SAMEA2534306	ERR551942
SAMN08436243	SRR6650135
SAMN08436178	SRR6650366
SAMN08708974	SRR6832709
SAMEA2517433	ERR498385
SAMEA2534515	ERR552251
SAMN02419575	SRR1181111
SAMN08913342	SRR6982424
SAMEA2535054	ERR552993
SAMEA2534397	ERR552075
SAMN02419546	SRR1181116
SAMEA3558156	ERR1213871
SAMEA3558194	ERR1034661
SAMN02419572	SRR1181131
SAMN02419533	SRR1181149
SAMN08629460	SRR6797449
SAMN02419562	SRR1181154
SAMN08629261	SRR6797472
SAMN04385716	SRR3082068
SAMN08629292	SRR6797542
SAMN08436296	SRR6650243
SAMEA2534928	ERR552821
SAMEA2534580	ERR552342
SAMEA2534221	ERR551828
SAMN02414877	SRR1162828
SAMN04385715	SRR3082144
SAMN02419583	SRR1181132
SAMEA2533902	ERR551385
SAMEA2535152	ERR553116
SAMN08795170	SRR6896184
SAMEA104172508	ERR2041693
SAMN02419585	SRR1180989
SAMN08629416	SRR6797513
SAMN41598338	SRR29230910
SAMEA2535194	ERR553178
SAMN08629271	SRR6797643
SAMN02414855	SRR1162833
SAMN04385689	SRR3085306
SAMEA7547044	ERR4813538
SAMEA2533596	ERR550960
SAMEA104394386	ERR2199740
SAMEA2534907	ERR552790
SAMEA2535134	ERR553096
SAMN08436249	SRR6650117
SAMN13169545	SRR10379961
SAMEA2534901	ERR552784
SAMEA2533894	ERR551373
SAMN02414901	SRR1163425
SAMEA104172458	ERR2041737
SAMEA1118844	ERR2513663
SAMEA104394619	ERR2200026
SAMN08629453	SRR6797458
SAMEA2535076	ERR553021
SAMEA104172418	ERR2041690
SAMEA104394490	ERR2199882
SAMEA2534034	ERR551569
SAMEA2533610	ERR550980
SAMN13638029	SRR10851690
SAMEA2534134	ERR551708
SAMN02414981	SRR1162992
SAMEA104172484	ERR2041711
SAMN08629310	SRR6797387
SAMEA2535203	ERR553195
SAMN08913060	SRR6982307
SAMN08629206	SRR6797334
SAMEA104394446	ERR2199826
SAMN02414931	SRR1162801
SAMN08629100	SRR6797721
SAMN02419542	SRR1181109
SAMEA2517446	ERR498391
SAMEA2534216	ERR551822
SAMEA2534766	ERR552611
SAMN02419593	SRR1181208
SAMN02414938	SRR1162836
SAMEA2533547	ERR550894
SAMEA3558229	ERR1034696
SAMN08636996	SRR6807749
SAMN02414968	SRR1163219
SAMEA2534793	ERR552645
SAMEA2533723	ERR551131
SAMEA3346015	ERR2516160
SAMN02414939	SRR1162886
SAMEA2534721	ERR552545
SAMN02414878	SRR1163339
SAMEA104394393	ERR2199752
SAMEA1101751	ERR2510453
SAMN07344595	SRR5818581
SAMEA2533726	ERR551138
SAMN13169569	SRR10379924
SAMN02414946	SRR1162887
SAMN02414987	SRR1162754
SAMN04385707	SRR3082067
SAMEA104394715	ERR2200146
SAMEA2535044	ERR552977
SAMEA104172421	ERR2041704
SAMN02414972	SRR1162848
SAMN04385743	SRR3082097
SAMEA3558155	ERR1213870
SAMN41415594	SRR29049026
SAMN02414857	SRR1165503
SAMN04385708	SRR3082078
SAMN08629343	SRR6797284
SAMEA115577862	ERR13093811
SAMN02419578	SRR1181048
SAMEA104394701	ERR2200128
SAMEA2534536	ERR552277
SAMN08629262	SRR6797415
SAMEA3231293	ERR2515644
SAMN08629327	SRR6797707
SAMEA2534002	ERR551527
SAMN08629258	SRR6797480
SAMEA2534420	ERR552112
SAMEA2534754	ERR552596
SAMN08629263	SRR6797635
SAMN02414899	SRR1163110
SAMN03648557	SRR2101310
SAMEA112188809	ERR10748215
SAMEA7551327	ERR4817964
SAMEA2534329	ERR551977
SAMN02414979	SRR1166915
SAMEA2534405	ERR552086
SAMEA104394718	ERR2200150
SAMN02419584	SRR1180945
SAMN07236396	SRR5709840
SAMEA2534067	ERR551611
SAMEA104172488	ERR2041707
SAMEA104394481	ERR2199869
SAMEA2534333	ERR551986
SAMEA2534290	ERR551918
SAMEA2534172	ERR551757
SAMN08795005	SRR6896525
SAMEA2533814	ERR551258
SAMEA104172515	ERR2041792
SAMEA2534616	ERR552390
SAMEA104172419	ERR2041705
SAMN08629307	SRR6797400
SAMN41598201	SRR29231501
SAMEA2534303	ERR551938
SAMN08795332	SRR6896224
SAMEA2534058	ERR551599
SAMEA2534316	ERR551959
SAMN02414977	SRR1163413
SAMEA2535195	ERR553180
SAMEA3558203	ERR1213918
SAMEA3558197	ERR1034664
SAMN02414962	SRR1163208
SAMN02414980	SRR1163032
SAMEA2535354	ERR553385
SAMEA2534633	ERR552412
SAMEA2534295	ERR551927
SAMEA7553580	ERR4820214
SAMN04385713	SRR3082133
SAMN08629442	SRR6797651
SAMN07236376	SRR5709768
SAMN07236380	SRR11828986
SAMEA2534761	ERR552603
SAMN07236395	SRR5709849
SAMEA3558227	ERR1034694
SAMN07236514	SRR5709935
SAMEA2534499	ERR552228
SAMN02414880	SRR1166909
SAMEA2534893	ERR552771
SAMN04385726	SRR3082079
SAMEA2534696	ERR552509
SAMN04385712	SRR3082122
SAMN02414978	SRR1163041
SAMEA2534311	ERR551951
SAMEA2534241	ERR551854
SAMEA3558152	ERR1213867
SAMEA2535040	ERR552968
SAMN04385719	SRR3082071
SAMN02419541	SRR1180957
SAMEA104394712	ERR2200142
SAMN13169560	SRR10379935
SAMN18498629	SRR14088382
SAMN07236266	SRR5709802
SAMN08709160	SRR6832642
SAMN08436212	SRR6650423
SAMEA104394469	ERR2199853
SAMEA3558231	ERR1034698
SAMN04385638	SRR3085250
SAMEA2533531	ERR550867
SAMN02414918	SRR1163015
SAMEA104394708	ERR2200137
SAMN02414858	SRR1162695
SAMEA115577977	ERR13093926
SAMEA2517427	ERR498373
SAMN08709151	SRR6832627
SAMEA115578004	ERR13093957
SAMN02419555	SRR1181071
SAMN03647315	SRR2100142
SAMEA2534156	ERR551735
SAMN04385690	SRR3085307
SAMN08629408	SRR6797346
SAMN02419560	SRR1180770
SAMN07236269	SRR5709755
SAMEA2534012	ERR551539
SAMN08629101	SRR6797720
SAMN04385731	SRR3082084
SAMEA2533806	ERR551250
SAMEA104394397	ERR2199762
SAMEA2535041	ERR552973
SAMEA2533589	ERR2815527
SAMN02419674	SRR1163432
SAMEA2534693	ERR552503
SAMN08637048	SRR6807754
SAMN08708513	SRR6831970
SAMEA2517429	ERR498377
SAMEA104394707	ERR2200135
SAMN02414902	SRR1163003
SAMEA104394583	ERR2199984
SAMEA104394492	ERR2199885
SAMEA104394506	ERR2199901
SAMN04385761	SRR3082118
SAMEA2534610	ERR552381
SAMEA3558230	ERR1034697
SAMEA2535060	ERR553002
SAMN43780106	SRR30673624
SAMEA2533433	ERR550736
SAMEA2535217	ERR553215
SAMN07659387	SRR6046158
SAMEA2534567	ERR552325
SAMN07236294	SRR5709989
SAMN41455344	SRR29094410
SAMEA2517423	ERR498368
SAMN08637037	SRR6807705
SAMN02419647	SRR1163319
SAMEA2535001	ERR552922
SAMEA2534128	ERR551698
SAMN41390103	SRR29016942
SAMN02414955	SRR1163288
SAMEA2534045	ERR551581
SAMN04385643	SRR3085255
SAMN04385768	SRR3082126
SAMEA104394486	ERR2199876
SAMEA13300678	ERR9125921
SAMN13169796	SRR10380035
SAMEA2534418	ERR552109
SAMEA2533766	ERR551195
SAMEA2534996	ERR552916
SAMEA2534350	ERR552012
SAMN43779883	SRR30673344
SAMN08912713	SRR6982185
SAMEA2533622	ERR550999
SAMN02419626	SRR1163385
SAMN08629340	SRR6797447
SAMN07236512	SRR5709933
SAMN07236511	SRR5709938
SAMEA2533835	ERR551284
SAMEA2534104	ERR551667
SAMEA2535052	ERR552987
SAMN07236539	SRR11828989
SAMEA3558198	ERR1034665
SAMEA2533971	ERR551477
SAMEA2517431	ERR498381
SAMN08629281	SRR6797565
SAMN09651666	SRR7516389
SAMEA104394560	ERR2199959
SAMN08629301	SRR6797543
SAMN02414967	SRR1162811
SAMN07236524	SRR5709885
SAMEA2533467	ERR550787
SAMEA3558161	ERR1213876
SAMEA2533471	ERR550792
SAMEA2534540	ERR552282
SAMN02414851	SRR1162709
SAMEA2533528	ERR550863
SAMEA2534938	ERR552833
SAMN04385742	SRR3082096
SAMN13637909	SRR10851671
SAMN08629277	SRR6797559
SAMEA2534400	ERR552079
SAMN13169563	SRR10379929
SAMEA2533440	ERR550744
SAMEA2534326	ERR551973
SAMEA2533511	ERR550837
SAMEA2533647	ERR551032
SAMN04385655	SRR3085268
SAMN07236518	SRR5709891
SAMEA2533923	ERR551412
SAMEA2534283	ERR551909
SAMEA2535215	ERR553211
SAMEA3558204	ERR1213919
SAMEA2534509	ERR552244
SAMN07236381	SRR5709813
SAMN03648071	SRR2100898
SAMN02414950	SRR1166819
SAMN02414890	SRR1163327
SAMN07236251	SRR5709916
SAMN07236530	SRR5709767
SAMEA2533844	ERR551298
SAMN07360953	SRR11828990
SAMN07236522	SRR5709887
SAMEA2535154	ERR553120
SAMEA1530831	ERR176700
SAMN43780613	SRR30673735
SAMN08795328	SRR6896330
SAMN02419673	SRR1163366
SAMN07236536	SRR5709960
SAMN41455289	SRR29094451
SAMEA2533545	ERR550890
SAMEA2534554	ERR552301
SAMEA2535028	ERR552956
SAMN02419670	SRR1163374
SAMN07236532	SRR5709765
SAMN02414971	SRR1162861
SAMEA2534308	ERR551948
SAMN07236337	SRR5709818
SAMN07236517	SRR5709902
SAMN41468574	SRR29093334
SAMEA2533559	ERR550914
SAMEA2535008	ERR552931
SAMN02419615	SRR1163330
SAMN13169544	SRR10379962
SAMN08629254	SRR6797476
SAMN07236513	SRR5709932
SAMEA897760	ERR036210
SAMN07236537	SRR11828983
SAMN07236252	SRR5709949
SAMEA3558193	ERR1034660
SAMEA2533505	ERR550829
SAMEA2534558	ERR552311
SAMN37367937	SRR26046692
SAMEA2533704	ERR551104
SAMN09651680	SRR7516318
SAMEA2535155	ERR553124
